Date,BIRD ID,Weight
20/03/2009,4H-48946,41.7
20/03/2009,4H-39145,47.1
20/03/2009,4H-48916,40.5
20/03/2009,4H-48728,46.3
20/03/2009,4H-48954,41.3
20/03/2009,4H-48744,50.6
20/03/2009,4H-39159,47.7
21/03/2009,4H-48971,52.7
21/03/2009,4H-48994,43.5
21/03/2009,4H-39156,52
21/03/2009,4H-48778,44.3
22/03/2009,4H-48726,45.4
22/03/2009,4H-48902,44
22/03/2009,4H-48718,47.1
25/03/2009,4H-48906,41.7
25/03/2009,4H-48967,47
27/03/2009,4H-39145,44.6
12/10/2009,4H-48709,
30/10/2009,4H-48939,40.9
30/10/2009,4H-48733,45.6
30/10/2009,4H-39194,44.9
30/10/2009,4H-48732,39.5
30/10/2009,4H-48960,44.7
01/11/2009,4H-48826,46.8
01/11/2009,4H-39153,49.8
01/11/2009,4H-48995,49.7
01/11/2009,4H-48771,43.5
05/11/2009,4H-39153,47.4
05/11/2009,4H-48771,41.3
05/11/2009,4H-48995,47.7
05/11/2009,4H-48826,44.9
06/11/2009,4H-48959,44.2
06/11/2009,4H-48939,39.6
06/11/2009,4H-39194,44
06/11/2009,4H-48732,38.7
06/11/2009,4H-48733,43.4
07/11/2009,4H-48996,43.5
07/11/2009,4H-48997,43.9
07/11/2009,4H-48808,40.9
10/11/2009,4H-48839,45.4
10/11/2009,4H-48930,45.8
10/11/2009,4H-48824,48.3
10/11/2009,4H-39140,51.8
10/11/2009,4H-48980,45.2
10/11/2009,4H-48973,44.9
12/11/2009,4H-48706,43.1
12/11/2009,4H-48948,40.7
12/11/2009,4H-48765,41.6
12/11/2009,4H-48993,44.7
12/11/2009,4H-48945,42.4
12/11/2009,4H-48834,43
12/11/2009,4H-48955,46
12/11/2009,4H-48938,43
12/11/2009,4H-48966,41.4
12/11/2009,4H-39154,45.5
14/11/2009,4H-48845,46.9
14/11/2009,4H-48983,47.8
14/11/2009,4H-39151,47.3
14/11/2009,4H-48846,47.6
14/11/2009,4H-48850,37.9
14/11/2009,4H-48773,45.5
14/11/2009,4H-39145,46.9
14/11/2009,4H-48946,43.5
16/11/2009,4H-48834,44.8
16/11/2009,4H-48765,41.8
19/11/2009,4H-48966,41.4
19/11/2009,4H-48955,45.4
19/11/2009,4H-39154,44.9
20/11/2009,4H-48964,43.1
20/11/2009,4H-39186,43.5
20/11/2009,4H-48965,41.3
21/11/2009,4H-48957,46.3
21/11/2009,4H-48974,46.4
21/11/2009,4H-48956,44.2
21/11/2009,4H-48714,43.9
21/11/2009,4H-39197,46.7
21/11/2009,4H-48830,38.3
21/11/2009,4H-48735,42.7
21/11/2009,4H-48998,43.6
21/11/2009,4H-39185,41.8
21/11/2009,4H-48971,
21/11/2009,4H-48833,
21/11/2009,4H-48994,
21/11/2009,4H-39156,
21/11/2009,4H-48778,
21/11/2009,4H-48950,
21/11/2009,4H-39179,
21/11/2009,4H-48746,
21/11/2009,4H-48745,
21/11/2009,4H-48952,
21/11/2009,4H-48772,
22/11/2009,4H-48951,
22/11/2009,4H-48708,43.2
22/11/2009,4H-48943,46
22/11/2009,4H-48728,44.1
22/11/2009,4H-48843,41.8
22/11/2009,4H-39159,46.1
22/11/2009,4H-48921,44.1
22/11/2009,4H-48744,45.6
22/11/2009,4H-48962,43.1
23/11/2009,4H-48750,39.1
23/11/2009,4H-48832,46.9
23/11/2009,4H-48829,34.1
25/11/2009,4H-48717,43.3
25/11/2009,4H-48734,42.5
25/11/2009,4H-48942,41.5
25/11/2009,4H-48779,42.6
27/11/2009,4H-39158,46.2
27/11/2009,4H-48846,47
27/11/2009,4H-48845,45
27/11/2009,4H-48983,48.4
27/11/2009,4H-48981,45.1
25/11/2009,4H-48727,
29/11/2009,4H-48712,47.9
29/11/2009,4H-48963,43.1
29/11/2009,4H-39149,45.3
29/11/2009,4H-48713,43.7
29/11/2009,4H-48932,43.3
29/11/2009,4H-48752,43.2
